Cluster A,Cluster B,Your Decision
(2) topic : a person buy something for another person,(149) topic : a person be excited,C
(5) topic : a person buy a different thing,(358) topic : a person have to give something to another person,E
(10) topic : a person get lost,(951) topic : a person stop to help,C
(11) topic : a person lose something,(347) topic : a person can not find something / someone,C
(11) topic : a person lose something,(323) topic : a person get a new something,C
(11) topic : a person lose something,(933) topic : a person miss something,C
(11) topic : a person lose something,(1054) topic : a person buy something new,C
(11) topic : a person lose something,(57) topic : a person throw something to another thing,E
(15) topic : a person speed,(1108) topic : the cop pull a person over,C
(18) topic : a person ask another person to visit a place,(984) topic : a person like another person,E
(20) topic : a person have a party,(261) topic : a person celebrate something,E
(20) topic : a person have a party,(1032) topic : a person have to cook,C
(28) topic : a person fall on something,(671) topic : a person come to help,C
(34) topic : a person take something from someone,(360) topic : a person hit another person,C
(34) topic : a person take something from someone,(477) topic : a person get something back,C
(34) topic : a person take something from someone,(701) topic : a person be angry to another person,C
(37) topic : a person work a lot,(950) topic : a person help out another person,C
(40) topic : a person have a lot of work,(878) topic : a person ask another person for help,C
(44) topic : something spill on a person,(130) topic : a person have to change,C
(45) topic : a person spill something on another person,(266) topic : a person run into something / someone,E
(46) topic : a person spill something on something,(339) topic : a person need to clean something up,C
(46) topic : a person spill something on something,(338) topic : a person clean something,C
(46) topic : a person spill something on something,(813) topic : a person remove another thing,C
(52) topic : a person trip on something,(458) topic : a person drop something,C
(54) topic : \a person decide to go for a trip,(771) topic : a person like travel,E
(54) topic : \a person decide to go for a trip,(559) topic : a person pack something,C
(58) topic : a person throw something,(362) topic : something hit a person,C
(59) topic : a person throw something to a place,(426) topic : a person pick up something,C
(60) topic : a person throw something to another person,(135) topic : a person get away from another person,C
(60) topic : a person throw something to another person,(362) topic : something hit a person,C
(62) topic : a person go somewhere with another person,(1065) topic : a person pick up another person,E
(66) topic : a person get bored,(587) topic : a person play something,C
(73) topic : a person follow another person,(136) topic : a person try to walk away from another person,E
(85) topic : a person drive to a place,(1065) topic : a person pick up another person,C
(85) topic : a person drive to a place,(1079) topic : a person have to leave for work,E
(86) topic : a person drive a person to a place,(164) topic : a person need to go to a place,E
(103) topic : a person decide to make food,(449) topic : a person buy ingredient,C
(103) topic : a person decide to make food,(106) topic : a person want food,E
(103) topic : a person decide to make food,(444) topic : a person start to get hungry,E
(103) topic : a person decide to make food,(450) topic : a person get ingredient,C
(107) topic : a person need food,(279) topic : a person be cook something edible,C
(110) topic : a person hungry for food,(632) topic : a person drive to a place that have something,C
(111) topic : a person want to eat,(1026) topic : a person start to cook,C
(114) topic : a person want to meet up with another person,(1114) topic : a person have not see a person in a while,E
(120) topic : a person learn how to do something,(1048) topic : a person decide to try something,E
(128) topic : a person decide to change,(185) topic : a person hate something,E
(140) topic : a person like something more than another thing,(233) topic : a person try another thing,E
(140) topic : a person like something more than another thing,(597) topic : a person have something and another thing,E
(141) topic : a person laugh at another person,(151) topic : a person be scared,E
(141) topic : a person laugh at another person,(701) topic : a person be angry to another person,C
(141) topic : a person laugh at another person,(152) topic : a person be scared of something,E
(149) topic : a person be excited,(292) topic : a person meet another person 's pet,E
(149) topic : a person be excited,(957) topic : a person ask another person a question,E
(151) topic : a person be scared,(670) topic : a person seek for help,C
(151) topic : a person be scared,(562) topic : a person visit a dentist,E
(151) topic : a person be scared,(439) topic : a person go to a scary place,E
(151) topic : a person be scared,(751) topic : a person steal something from another person,E
(152) topic : a person be scared of something,(820) topic : a person tell another person,C
(158) topic : a person want to go to a place,(499) topic : a person be on vacation,C
(158) topic : a person want to go to a place,(582) topic : a person push another person into a place,C
(161) topic : a person want something at a place,(965) topic : a person come to a place,C
(164) topic : a person need to go to a place,(428) topic : a person get transportation,C
(164) topic : a person need to go to a place,(553) topic : a person walk,C
(165) topic : a person feel well,(844) topic : a person take a nap,E
(165) topic : a person feel well,(717) topic : a person put something,E
(165) topic : a person feel well,(417) topic : a person make friend,E
(165) topic : a person feel well,(338) topic : a person clean something,E
(169) topic : a person look for a job,(999) topic : a person need money,E
(170) topic : a person get a job,(999) topic : a person need money,E
(172) topic : a person do a job,(999) topic : a person need money,E
(175) topic : a person decide to get a job,(999) topic : a person need money,E
(176) topic : a person go to a place that sell pet,(847) topic : a person want a pet,E
(182) topic : a person be on the swing,(581) topic : a person push another person,E
(182) topic : a person be on the swing,(248) topic : a person go to a high place,C
(185) topic : a person hate something,(816) topic : another person come to help a person,C
(185) topic : a person hate something,(773) topic : a person sick of something,C
(186) topic : a person hate doing something,(761) topic : a person do not want to do something,C
